id,singer
8f6e3245-e505-46bf-946f-8e59a1709465,Kamal Haasan
580c5df7-0a9f-47d9-89a8-4393f9b38b08,Mohit Chauhan
580c5df7-0a9f-47d9-89a8-4393f9b38b08,Alma Ferovic
3c20f172-287b-452d-9de9-e3c34bf98449,Karthik
50b05f99-4fe7-4d45-a28c-5f7e2ad155f6,Vijay Yesudas
2a2801ff-3aab-4c99-89f6-dce7de371a08,Hema Sardesai
2a2801ff-3aab-4c99-89f6-dce7de371a08,Malaysia Vasudevan
084b522b-6bbc-4aa3-9167-71dd73e62879,A. R. Rahman
684f5ccf-dee8-453c-8b69-f70f94cefb32,Hariharan
684f5ccf-dee8-453c-8b69-f70f94cefb32,Alka Yagnik
684f5ccf-dee8-453c-8b69-f70f94cefb32,A. R. Rahman
0464191d-9294-4b55-beb8-268e57647eea,Madhushree
0464191d-9294-4b55-beb8-268e57647eea,Chinmayi
0464191d-9294-4b55-beb8-268e57647eea,Vaishali Samant
0464191d-9294-4b55-beb8-268e57647eea,Anchal Datta Bhatia
65334080-4a74-4af9-9d9a-b6aa5f9b09b0,Naresh Iyer
65334080-4a74-4af9-9d9a-b6aa5f9b09b0,Hriday Gattani
47ed2f35-df18-4147-b5dc-6a0029da6fd4,Karthik
aff0e5cd-e4fb-45b7-a092-bdbe84faf6ea,Suzanne D’Mello
a50813df-3f40-4c05-ade1-0f47b29ab68a,S. P. Balasubrahmanyam
471aff41-cbfd-498e-9cbd-2d440ca6866b,A. R. Rahman
471aff41-cbfd-498e-9cbd-2d440ca6866b,A. R. Reihana
2a79e1f1-d203-464e-8ebc-c1cda4b84abc,Haricharan
5df27652-199b-44cb-889a-819a58aea849,Haricharan
5df27652-199b-44cb-889a-819a58aea849,Shashaa Tirupati
05dda76c-f87b-4015-bc54-1a01ed19f9f8,Karthik
a76d5832-35b3-4deb-a517-3b8d0a17600b,Adnan Sami
8f6b8e51-3b86-47e1-85be-db6db7081caa,Haricharan
8f6b8e51-3b86-47e1-85be-db6db7081caa,Natalie Di Luccio
a71c86ce-3187-486e-99ce-5047a2c73f56,Mano
76985952-5a2b-4154-b35e-2cf5222d888d,Udit Narayan
76985952-5a2b-4154-b35e-2cf5222d888d,Vasundhara Das
ece40d14-7004-4256-9267-06ebf17916a1,Mohammed Aslam
ece40d14-7004-4256-9267-06ebf17916a1,Bonnie Chakraborty
e066f1d5-163c-4c62-ad09-98243e72a084,A. R. Rahman
b64bcfae-7ef9-4b64-af65-bcdeab54656f,S. P. Balasubrahmanyam
b64bcfae-7ef9-4b64-af65-bcdeab54656f,Harini
c9b907bf-6faa-4457-be6c-31886007a6ab,A. R. Rahman
69063b11-5adc-4231-be7e-77868e9e3a64,Karjo Bhattacharya
69063b11-5adc-4231-be7e-77868e9e3a64,Shreya Ghoshal
65b3e3f2-18c4-469d-9910-9eb37991e7ba,Hariharan
92aa72bd-fd85-4fe9-bfd4-532120d3c036,Arjun Chandy
92aa72bd-fd85-4fe9-bfd4-532120d3c036,Haricharan
92aa72bd-fd85-4fe9-bfd4-532120d3c036,Jonita Gandhi
875a8933-e376-40e1-98e2-e026f0c0c05b,K. S. Chithra
f28c9f91-db66-45f0-8b77-dde7b3412699,A. R. Rahman
f35958fb-8c51-46b2-9667-edfd32d67025,Adnan Sami
f35958fb-8c51-46b2-9667-edfd32d67025,Alka Yagnik
707596c9-59ad-45ae-851a-34a82976bfee,Udit Narayan
707596c9-59ad-45ae-851a-34a82976bfee,Madhushree
707596c9-59ad-45ae-851a-34a82976bfee,Shweta Mohan
707596c9-59ad-45ae-851a-34a82976bfee,Bhargavi Pillai
9ff8f303-6cb3-4cb6-8c43-61c26f399144,Papon
9ff8f303-6cb3-4cb6-8c43-61c26f399144,Ranbir Kapoor
9ff8f303-6cb3-4cb6-8c43-61c26f399144,Supriya Pathak
0ad0e78e-2410-4a2e-a7cf-8f7aaad9b071,S. P. Balasubrahmanyam
0ad0e78e-2410-4a2e-a7cf-8f7aaad9b071,Reena Bhardwaj
7ae8b107-695e-4a47-8b81-81da078beca8,S. P. Balasubrahmanyam
7ae8b107-695e-4a47-8b81-81da078beca8,Sadhana Sargam
279fe437-d5d6-4dc5-97ca-97070e6b9246,Srinivas
956d757a-c463-4208-bd45-86106d07eaa2,S. P. Balasubrahmanyam
956d757a-c463-4208-bd45-86106d07eaa2,Kavita Krishnamurthy
956d757a-c463-4208-bd45-86106d07eaa2,A. R. Rahman
69028317-f8c7-4cc6-a06b-3a5cd25d1560,Mano
69028317-f8c7-4cc6-a06b-3a5cd25d1560,Sujatha
74afbe1d-6797-4ee8-bf36-de3d099d7815,Silambarasan
74afbe1d-6797-4ee8-bf36-de3d099d7815,Tippu
d8da0c50-ad31-4e0f-bf33-f9362650201b,S. P. Balasubrahmanyam
d8da0c50-ad31-4e0f-bf33-f9362650201b,A. R. Reihana
d8da0c50-ad31-4e0f-bf33-f9362650201b,Benny Dayal
cde14fcf-24fc-4da4-873a-6462d9cedacb,A. R. Rahman
10f6cf8e-ef70-4ce5-bea2-d6ded7d90f57,Shreya Ghoshal
10f6cf8e-ef70-4ce5-bea2-d6ded7d90f57,Anweshaa
10f6cf8e-ef70-4ce5-bea2-d6ded7d90f57,Meenal Jain
8f51d6a9-15b3-46cc-ad77-52f617fa8675,Vandemataram Srinivas
8f51d6a9-15b3-46cc-ad77-52f617fa8675,S. Janaki
cf0a4e77-14e3-49f4-9ef5-57868eedb6ee,A. R. Rahman
0bc528ef-c9cf-42fa-b457-0e8a212113d1,Shankar Mahadevan
0bc528ef-c9cf-42fa-b457-0e8a212113d1,Sunitha Sarathy
1d68423a-ed8d-49fa-8392-28a3f88c6e8a,A. R. Rahman
8ff15186-7c63-4e73-8a00-a889ad499d26,A. R. Rahman
baa7b599-ed2c-41c5-98a5-ee48388a103c,Mano
baa7b599-ed2c-41c5-98a5-ee48388a103c,Swarnalatha
1e4bb95d-ea73-431c-8785-a7e8cd7a31d6,P. Bharathiraja
ad638dad-827a-417d-8752-d6f0e1fe56bf,Craig Armstrong
ad638dad-827a-417d-8752-d6f0e1fe56bf,A. R. Rahman
070ff425-da8f-483d-a735-c44559d64ae0,Sudeep Jaipurwale
d7d71eec-6ab3-4f2e-b8d7-e02af1da6fc0,[no artist]
3d60bc22-e8f1-4090-b90f-fd31144dbc61,A. R. Rahman
16bed182-3b26-456f-b10b-2ef4dfb4823a,A. R. Rahman
208e786d-67c1-4708-91e0-662a4e2e49b0,A. R. Rahman
04383847-1b57-44df-9af9-fd030a3fb6a3,A. R. Rahman
0994d9c3-e365-4ce8-9114-99acde744556,Seattle Symphony
0994d9c3-e365-4ce8-9114-99acde744556,Ricardo Averbach
33015823-09f7-4fef-91ed-406272d5d083,Vijay Prakash
33015823-09f7-4fef-91ed-406272d5d083,Mustafa Kutoane
33015823-09f7-4fef-91ed-406272d5d083,Keerthi Sagathia
5581fdc8-aca9-48c9-a5df-3902d0f70447,Karthik
5581fdc8-aca9-48c9-a5df-3902d0f70447,Mohammed Irfan
8182765a-9021-44d1-a7ce-e72a4e4bb13c,Haricharan
8182765a-9021-44d1-a7ce-e72a4e4bb13c,Bamba Bakya
106775c0-e0d5-4aa0-ab33-16a2f4c98a15,Nakash Aziz
106775c0-e0d5-4aa0-ab33-16a2f4c98a15,Shweta Pandit
80155266-9f19-4eb4-907f-9c5b22278ead,Craig Armstrong
80155266-9f19-4eb4-907f-9c5b22278ead,A. R. Rahman
f2e0b705-4c34-4078-b5ce-09dd544d58a3,Craig Armstrong
f2e0b705-4c34-4078-b5ce-09dd544d58a3,A. R. Rahman
f9cbcac2-93fc-4c5e-ad3c-dc5c91fb2b53,Srinivas
bef493ee-6913-49e4-86e9-801c36ad2ae4,A. R. Rahman
bef493ee-6913-49e4-86e9-801c36ad2ae4,Nikhita Gandhi
30d35eda-2c70-46e1-986e-309d6450d4fa,A. R. Rahman
30d35eda-2c70-46e1-986e-309d6450d4fa,Shakthisree Gopalan
28893c95-405d-4433-ae3e-7c741d51bcee,Hariharan
dd4fa5cd-21b5-4e5d-8c2d-be7def12e940,A. R. Rahman
6568d121-11ca-433c-8d38-c1fbac5d18cb,P. Bharathiraja
c5177a70-02f9-4531-a65a-ab84f8b734d0,P. Bharathiraja
6911130a-2399-401a-9691-29aba22d0c78,P. Bharathiraja
aebbf724-db9f-4e2c-8d41-afae2597ce2e,Rashid Ali
0358899f-c87d-4674-91b4-0bb3a8d8f29c,A. R. Rahman
0358899f-c87d-4674-91b4-0bb3a8d8f29c,Shakthisree Gopalan
21173f39-d59c-4572-b90b-7da40d12250c,Nakash Aziz
46e97441-30d7-42c2-90ab-61d7fbc64952,Bade Ghulam Ali Khan
46e97441-30d7-42c2-90ab-61d7fbc64952,Shreya Ghoshal
af5ba187-9da0-450c-aa07-eb7734c933a0,A. R. Rahman
f8077b90-8de6-4110-afed-32ff20b2ada0,Udit Narayan
f8077b90-8de6-4110-afed-32ff20b2ada0,Alka Yagnik
99b4c64b-ea00-48a9-997c-4c8db1c21450,Jonita Gandhi
6f1a64a7-a108-4480-ad0a-a6a0b21f47ab,A. R. Rahman
